cell_barcode,ncounts,hash_umis,pval_demultiplexing,qval_demultiplexing,top_to_second_best_ratio,top_oligo,perturbation,dose_value,well,celltype,cell_line,cancer,disease,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID,dose_value_num,is_control,treatment_group,n_genes
A11_B02_RT_514,2246,51.0,0.0,0.0,43.9012584704743,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1334,6.366874,6.990205,1,,10.0,False,BMS,1334
A11_B02_RT_575,1076,5.0,0.999999996762988,1.0,1.3025152957172,BMS_100_AG09,BMS,100,AG09,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,802,3.3457248,0.5576208,1,,100.0,False,BMS,802
A12_A01_RT_398,8376,43.0,8.07108419679022e-46,1.7756385232938502e-44,1.58333333333333,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3908,8.858644,2.1370583,1,,10.0,False,BMS,3908
A12_A01_RT_405,1347,75.0,0.0,0.0,84.368778280543,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,817,17.891611,6.7557535,1,,10.0,False,BMS,817
A12_A01_RT_687,1312,39.0,0.0,0.0,14.897489539749,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,887,8.917683,4.878049,1,,10.0,False,BMS,887
A12_B02_RT_429,1541,4.0,0.0001239111843801,0.0038412467157856,1.0463768115942,BMS_50_AG02,BMS,50,AG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1066,2.8552887,0.45425048,1,,50.0,False,BMS,1066
A12_B02_RT_476,1458,100.0,0.0,0.0,109.856230031949,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,981,7.681756,3.840878,1,,10.0,False,BMS,981
A12_B02_RT_570,1155,3.0,0.999000770163258,1.0,1.02542372881356,BMS_50_BH06,BMS,50,BH06,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,862,4.848485,0.6060606,1,,50.0,False,BMS,862
A12_B02_RT_610,2613,93.0,0.0,0.0,84.2314049586777,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1906,4.0566397,4.09491,1,,10.0,False,BMS,1906
A12_B02_RT_684,2002,756.0,0.0,0.0,6.80121865065348,BMS_100_BG01,BMS,100,BG01,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1216,11.938062,2.2477522,1,,100.0,False,BMS,1216
B01_A01_RT_402,6837,1.0,1.0,1.0,inf,BMS_50_AH06,BMS,50,AH06,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3171,9.170689,0.7313149,1,,50.0,False,BMS,3171
B01_A01_RT_461,1709,25.0,0.999999841391415,1.0,40.0,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,986,11.410181,9.2451725,1,,10.0,False,BMS,986
B01_A01_RT_707,5308,4.0,0.0157254723086365,0.157254723086365,1.02179836512262,BMS_50_AG10,BMS,50,AG10,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,2691,9.664658,1.1492088,1,,50.0,False,BMS,2691
B01_A01_RT_721,1618,9.0,0.0157254723086365,0.157254723086365,6.14754098360656,BMS_10_BG03,BMS,10,BG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,984,7.4165635,4.944376,1,,10.0,False,BMS,984
B01_B02_RT_430,1177,57.0,0.0,0.0,31.098773402195,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,760,7.9864063,4.6728973,1,,10.0,False,BMS,760
B01_B02_RT_497,1889,9.0,0.329628868813203,1.0,1.964461994077,BMS_100_BG09,BMS,100,BG09,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1303,2.0645845,0.5293806,1,,100.0,False,BMS,1303
B01_B02_RT_590,6116,90.0,0.0,0.0,1.05993594206935,BMS_10_AG11,BMS,10,AG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3067,6.000654,1.9457161,1,,10.0,False,BMS,3067
B02_A01_RT_521,1272,48.0,0.0,0.0,67.7627906976744,BMS_10_BH07,BMS,10,BH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,869,9.669811,5.581761,1,,10.0,False,BMS,869
B02_A01_RT_701,1270,5.0,1.0,1.0,inf,BMS_50_BG02,BMS,50,BG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,897,5.11811,0.31496063,1,,50.0,False,BMS,897
B02_A01_RT_749,9112,6229.0,0.0,0.0,7.52435249956906,BMS_50_BG02,BMS,50,BG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3948,9.064969,1.8437226,1,,50.0,False,BMS,3948
B03_A01_RT_390,1419,101.0,0.0,0.0,94.479381443299,BMS_10_BH07,BMS,10,BH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,910,7.751938,4.6511626,1,,10.0,False,BMS,910
B03_A01_RT_401,3908,136.0,0.0,0.0,10.2043795620438,BMS_10_BH07,BMS,10,BH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,2185,11.412487,2.8915045,1,,10.0,False,BMS,2185
B03_A01_RT_527,3001,136.0,0.0,0.0,1.18125,BMS_50_AG10,BMS,50,AG10,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1750,6.497834,1.9326891,1,,50.0,False,BMS,1750
B03_A01_RT_670,4692,1.0,1.42674163852721e-58,3.13883160475986e-57,inf,BMS_50_AG02,BMS,50,AG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,2345,12.702473,1.9181585,1,,50.0,False,BMS,2345
B03_B02_RT_745,2157,97.0,2.14556926937165e-184,5.578480100366291e-183,8.77321617936676,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1358,6.351414,4.636069,1,,10.0,False,BMS,1358
B04_A01_RT_393,1458,14.0,1.0,1.0,inf,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,986,11.179698,5.69273,1,,10.0,False,BMS,986
B04_A01_RT_498,1438,35.0,9.968537007299789e-16,1.7943366613139602e-14,30.0,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,895,6.6063976,6.0500693,1,,10.0,False,BMS,895
B04_A01_RT_583,4932,28.0,0.0,0.0,2.32329749103943,BMS_50_BG10,BMS,50,BG10,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,2605,6.5287914,1.2368208,1,,50.0,False,BMS,2605
B04_A01_RT_622,7027,66.0,2.4834941745594e-135,6.45708485385443e-134,3.00902934537246,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3457,5.2654047,3.1450121,1,,10.0,False,BMS,3457
B04_A01_RT_651,3452,102.0,0.0,0.0,3.06872653768409,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,2117,3.7949016,2.7520278,1,,10.0,False,BMS,2117
B04_A01_RT_720,1771,6.0,3.54634353773285e-113,8.865858844332131e-112,2.98709677419355,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1095,7.7922077,5.6465273,1,,10.0,False,BMS,1095
B04_B02_RT_472,1213,30.0,0.0,0.0,25.9518459069021,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,788,8.821105,5.5234957,1,,10.0,False,BMS,788
B04_B02_RT_711,2492,41.0,0.0,0.0,34.9341894060995,BMS_10_BG03,BMS,10,BG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1535,8.507223,3.7319422,1,,10.0,False,BMS,1535
B04_B02_RT_764,8371,237.0,0.0,0.0,3.99062702570122,BMS_100_BH05,BMS,100,BH05,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3809,10.3930235,1.7321706,1,,100.0,False,BMS,3809
B05_A01_RT_448,1805,178.0,0.0,0.0,232.635294117647,BMS_10_BH07,BMS,10,BH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1176,8.310249,4.764543,1,,10.0,False,BMS,1176
B05_A01_RT_566,2281,125.0,0.0,0.0,119.273255813953,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1303,8.724244,6.7075844,1,,10.0,False,BMS,1303
B05_A01_RT_586,3515,343.0,0.0,0.0,2.45122937383892,BMS_50_AG02,BMS,50,AG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1982,7.5391183,1.7069701,1,,50.0,False,BMS,1982
B05_B02_RT_432,1246,9.0,0.0074906856617786,0.0507287492298886,1.01908127208481,BMS_100_AG09,BMS,100,AG09,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,892,5.05618,0.56179774,1,,100.0,False,BMS,892
B05_B02_RT_485,2093,71.0,0.0,0.0,64.0669546436285,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1344,7.4534163,4.2522693,1,,10.0,False,BMS,1344
B05_B02_RT_705,6863,77.0,0.0,0.0,1.52055213161514,BMS_50_AH06,BMS,50,AH06,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3323,6.07606,1.3113799,1,,50.0,False,BMS,3323
B06_A01_RT_402,1333,6.0,3.28998057843837e-11,3.94797669412605e-10,1.02108963093146,BMS_100_BH05,BMS,100,BH05,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,897,3.4508626,0.45011252,1,,100.0,False,BMS,897
B06_A01_RT_497,1016,8.0,6.90712260684009e-07,6.21641034615608e-06,1.17647058823529,BMS_100_BG09,BMS,100,BG09,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,752,2.3622048,0.2952756,1,,100.0,False,BMS,752
B06_A01_RT_575,1188,8.0,0.999999997930067,1.0,7.05343511450382,BMS_100_BG09,BMS,100,BG09,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,881,3.4511786,0.6734007,1,,100.0,False,BMS,881
B06_A01_RT_619,1050,7.0,2.7838913807643e-16,3.61905879499359e-15,1.21727861771058,BMS_100_BG09,BMS,100,BG09,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,760,6.857143,0.1904762,1,,100.0,False,BMS,760
