names,scores,logfoldchanges,pvals,pvals_adj,perturbation_label,compound,direction
CTU2,3.3323777,4.1036167,0.0008610732737615058,0.004127384037864268,SAHA,Vorinostat,up
FAM207A,3.33223,2.1909277,0.0008615300400958957,0.00412887506785684,SAHA,Vorinostat,up
DNA2,3.3314185,0.31726167,0.0008640462736249862,0.004139533947926434,SAHA,Vorinostat,up
CRAMP1,3.3290572,1.5289869,0.0008714050250814333,0.004173377657724802,SAHA,Vorinostat,up
PCSK9,3.327065,2.690671,0.0008776591247720977,0.004202619850927966,SAHA,Vorinostat,up
LYRM2,3.3269174,1.242308,0.0008781240428919647,0.004204135686344399,SAHA,Vorinostat,up
DNAAF5,3.3259583,1.123983,0.0008811515804306259,0.0042172054528361895,SAHA,Vorinostat,up
AC020915.1,3.3244085,2.5150483,0.0008860626666067729,0.004239993895019036,SAHA,Vorinostat,up
ZNF500,3.3240397,2.1283834,0.0008872357067921684,0.0042448903358224665,SAHA,Vorinostat,up
OSBPL7,3.3239658,2.4959939,0.0008874704875118191,0.004245296872908496,SAHA,Vorinostat,up
AMPH,3.3226378,1.7832906,0.0008917064009558692,0.0042648398295843755,SAHA,Vorinostat,up
B4GALT4,3.3224902,0.3993839,0.0008921782130807314,0.004266376341930774,SAHA,Vorinostat,up
SLC15A4,3.3202028,0.8296112,0.0008995209542699387,0.0043000379220819035,SAHA,Vorinostat,up
POLD2,3.3168824,2.2565453,0.0009102794825430272,0.004349999996004099,SAHA,Vorinostat,up
VARS2,3.3167348,4.364667,0.0009107603958379695,0.004351564339446364,SAHA,Vorinostat,up
ERF,3.3164396,2.1733294,0.0009117229288763989,0.004355428920852898,SAHA,Vorinostat,up
PMAIP1,3.3142998,1.4514701,0.0009187295362740757,0.004388160727951248,SAHA,Vorinostat,up
SLC48A1,3.3137832,1.5100771,0.0009204282454135807,0.004395533471272337,SAHA,Vorinostat,up
APEX2,3.3134143,2.8532364,0.000921643390457093,0.0044005948439381805,SAHA,Vorinostat,up
CWF19L2,3.312898,0.28793252,0.0009233470909520249,0.00440798683682589,SAHA,Vorinostat,up
ZNF473,3.308618,2.1815138,0.0009375761367021066,0.0044729011046909595,SAHA,Vorinostat,up
TTLL11,3.3068473,1.4798177,0.0009435232220739876,0.004500515244425629,SAHA,Vorinostat,up
EMP3,3.306257,1.4540788,0.0009455133366226387,0.004509248894852295,SAHA,Vorinostat,up
DUSP18,3.3047812,2.3767755,0.0009505056474352802,0.004531532475945655,SAHA,Vorinostat,up
CHAC2,3.3046336,1.9644288,0.0009510062191182358,0.004533156305697656,SAHA,Vorinostat,up
RBFA,3.3033054,3.1174865,0.0009555223652676028,0.004553917387647718,SAHA,Vorinostat,up
AC131212.2,3.3018298,3.2546086,0.000960563598464718,0.004576404043929587,SAHA,Vorinostat,up
SMCR8,3.300354,1.1253728,0.0009656294557941516,0.004599765930121813,SAHA,Vorinostat,up
FAM118A,3.2994685,1.8250628,0.0009686808351812321,0.004612750379325451,SAHA,Vorinostat,up
NRSN2,3.2979927,1.6445218,0.000973786318417047,0.004636283046253743,SAHA,Vorinostat,up
CEP97,3.297919,0.6730029,0.0009740422455227134,0.0046367225186666645,SAHA,Vorinostat,up
RABGGTB,3.2976975,0.48578677,0.0009748104006105288,0.0046395997871181,SAHA,Vorinostat,up
C5orf22,3.295484,0.93598956,0.0009825228649248036,0.004674736894936046,SAHA,Vorinostat,up
UQCRB,3.2954102,1.6898586,0.000982780917491084,0.004675179728027923,SAHA,Vorinostat,up
CSNK2B,3.2947462,2.5600667,0.0009851062162465586,0.004685454843235143,SAHA,Vorinostat,up
TRAPPC11,3.2946725,0.6663988,0.0009853648969912687,0.00468589871638506,SAHA,Vorinostat,up
PRAME,3.2943034,0.59370404,0.000986659244404593,0.004691266722808281,SAHA,Vorinostat,up
RAP2A,3.293713,1.1553977,0.0009887334750950762,0.004700340415575285,SAHA,Vorinostat,up
DDAH1,3.2922373,0.33527112,0.000993936728376912,0.004724283631121256,SAHA,Vorinostat,up
CNTN5,3.2915733,1.3159811,0.000996286453334055,0.004734657976619228,SAHA,Vorinostat,up
DOCK6,3.2897286,2.2919338,0.0010028404776714008,0.004765005609700227,SAHA,Vorinostat,up
GMPPB,3.2886956,3.1009407,0.0010065281429092207,0.004781725819574434,SAHA,Vorinostat,up
STK35,3.287884,0.9771563,0.001009434395999066,0.004794728782068645,SAHA,Vorinostat,up
PTTG1,3.2870722,2.5821793,0.0010123484151935017,0.004807764268435303,SAHA,Vorinostat,up
SGO1-AS1,3.2869985,0.69648165,0.001012613711775839,0.004808218392142046,SAHA,Vorinostat,up
ARL1,3.2856703,1.1899123,0.0010174000682576694,0.0048301362262164246,SAHA,Vorinostat,up
BLOC1S1,3.2841947,2.0327742,0.0010227427967232213,0.004853874622934625,SAHA,Vorinostat,up
GOLGA5,3.2841947,0.45168874,0.0010227427967232213,0.004853874622934625,SAHA,Vorinostat,up
MRPS18A,3.2838256,2.5459049,0.0010240825301733624,0.004859419079044331,SAHA,Vorinostat,up
TMBIM1,3.2835305,1.50568,0.0010251554861994351,0.004863695993289736,SAHA,Vorinostat,up
ADAM32,3.2824237,0.354952,0.001029188344280895,0.0048820119350907265,SAHA,Vorinostat,up
TRABD2A,3.2807267,0.9746276,0.0010354005848029792,0.004910658037179385,SAHA,Vorinostat,up
GGPS1,3.2804315,1.0632044,0.001036484510116875,0.004914976246267069,SAHA,Vorinostat,up
ZNF516,3.2799888,0.359698,0.0010381123670911594,0.004921048554471274,SAHA,Vorinostat,up
TRIM5,3.2796197,1.2124699,0.0010394707214719475,0.004926663539901665,SAHA,Vorinostat,up
ZNF280A,3.2793984,2.2446945,0.00104028652337492,0.004929705601906102,SAHA,Vorinostat,up
COPS5,3.2791033,1.025674,0.001041375180874574,0.00493403943748933,SAHA,Vorinostat,up
RTL8A,3.276742,1.9238641,0.0010501224676970026,0.004972989720855224,SAHA,Vorinostat,up
MFN2,3.2760043,1.0066313,0.001052869905488728,0.0049843346778716295,SAHA,Vorinostat,up
NAT1,3.2760043,2.844848,0.001052869905488728,0.0049843346778716295,SAHA,Vorinostat,up
PLPBP,3.2757828,1.3210536,0.0010536954327837052,0.004987409583134231,SAHA,Vorinostat,up
AL035458.2,3.2748973,0.85813046,0.0010570035342416211,0.00500223215653625,SAHA,Vorinostat,up
TMEM138,3.2737906,2.14425,0.0010611521732731878,0.005021026930408348,SAHA,Vorinostat,up
OTUD6B,3.2732003,1.0664388,0.0010633709353460837,0.00503068540331174,SAHA,Vorinostat,up
JMJD4,3.2727575,3.5655544,0.001065037822558475,0.005037730231290613,SAHA,Vorinostat,up
SVIP,3.2721672,1.7872027,0.0010672640990849404,0.005047418230952777,SAHA,Vorinostat,up
SLC25A23,3.2720935,2.6097,0.00106754268614406,0.005047526463106471,SAHA,Vorinostat,up
PTCD2,3.2720196,0.84116554,0.0010678213404729795,0.005047526463106471,SAHA,Vorinostat,up
HSPA14,3.2720196,1.1833962,0.0010678213404729795,0.005047526463106471,SAHA,Vorinostat,up
NTPCR,3.2698061,0.6636661,0.001076212323938456,0.005085493552737697,SAHA,Vorinostat,up
FAM193B,3.2696586,0.6041444,0.0010767738857023247,0.005087298828448229,SAHA,Vorinostat,up
SLC37A3,3.2693634,0.3980118,0.001077897822435601,0.005091760042037016,SAHA,Vorinostat,up
MRPL45,3.2686992,2.6840384,0.001080430648799834,0.005102873954281616,SAHA,Vorinostat,up
CCDC77,3.267814,1.062227,0.0010838163142091247,0.005117158732432219,SAHA,Vorinostat,up
ATL3,3.2666333,0.2740971,0.0010883458000153783,0.005137688369287988,SAHA,Vorinostat,up
MAGOH,3.2644935,1.6039919,0.0010966001449451502,0.005175791956604874,SAHA,Vorinostat,up
NRIP3,3.2639031,3.2036839,0.0010988873726998957,0.005185723624907518,SAHA,Vorinostat,up
E2F6,3.263608,0.94586384,0.0011000326402173383,0.005190263895850638,SAHA,Vorinostat,up
RBM18,3.2634604,1.1424059,0.001100605687807255,0.005192103209768935,SAHA,Vorinostat,up
ZSWIM4,3.2631652,2.8436472,0.001101752611251674,0.005196648717984343,SAHA,Vorinostat,up
MRPL22,3.2619846,1.1404593,0.0011063513662436068,0.005215735321346087,SAHA,Vorinostat,up
EMC2,3.2571146,0.68299454,0.0011255094775868342,0.005303406647132642,SAHA,Vorinostat,up
CBR3-AS1,3.2568934,2.1605365,0.0011263875455427394,0.0053066617232901325,SAHA,Vorinostat,up
ITGAE,3.2564507,1.4902318,0.0011281455816852157,0.005314060753622946,SAHA,Vorinostat,up
MAFF,3.256303,3.561024,0.0011287321572135067,0.005315940148099775,SAHA,Vorinostat,up
CXXC1,3.2562292,1.8865682,0.0011290255506992942,0.0053164383608701555,SAHA,Vorinostat,up
USP31,3.2560816,0.3384327,0.0011296125491908604,0.005318318727192324,SAHA,Vorinostat,up
RPL7L1,3.254606,1.2690322,0.0011354980714770714,0.005344252507808877,SAHA,Vorinostat,up
FAM174A,3.254606,1.7930446,0.0011354980714770714,0.005344252507808877,SAHA,Vorinostat,up
