cell_id,UMAP_1,UMAP_2,leiden,treatment_group,perturbation,dose_value,percent_mito,ngenes,cell_line,disease
B11_A01_RT_575,5.295328,2.8989673,5,BMS,BMS,50.0,11.165049,3227,A549,lung adenocarcinoma
B11_A01_RT_605,8.958738,-1.3154315,0,BMS,BMS,10.0,8.72093,847,A549,lung adenocarcinoma
B11_A01_RT_635,0.17448565,7.786402,1,BMS,BMS,50.0,3.9486203,1363,A549,lung adenocarcinoma
B11_B02_RT_406,4.3905725,0.9790543,3,BMS,BMS,50.0,14.447236,2345,A549,lung adenocarcinoma
B11_B02_RT_423,8.886866,-1.9587721,0,BMS,BMS,10.0,7.5611143,1130,A549,lung adenocarcinoma
B11_B02_RT_433,-0.2321657,6.43202,1,BMS,BMS,10.0,2.2117963,1011,A549,lung adenocarcinoma
B11_B02_RT_455,-0.19217563,8.8286085,1,BMS,BMS,100.0,4.901118,847,A549,lung adenocarcinoma
B11_B02_RT_468,-0.780149,9.180918,1,BMS,BMS,100.0,4.5085664,794,A549,lung adenocarcinoma
B11_B02_RT_502,-0.3902668,9.28948,1,BMS,BMS,100.0,4.7051816,1147,A549,lung adenocarcinoma
B11_B02_RT_601,8.999839,3.9610856,4,BMS,BMS,50.0,15.506024,3350,A549,lung adenocarcinoma
B11_B02_RT_735,9.735848,-1.9952099,0,BMS,BMS,10.0,8.673206,1130,A549,lung adenocarcinoma
B12_A01_RT_546,4.926773,3.6343598,5,BMS,BMS,50.0,6.1509786,1875,A549,lung adenocarcinoma
B12_B02_RT_384,8.691865,-1.4750507,0,BMS,BMS,10.0,12.032817,702,A549,lung adenocarcinoma
B12_B02_RT_387,1.4258466,7.564026,1,BMS,BMS,50.0,5.6074767,823,A549,lung adenocarcinoma
B12_B02_RT_484,8.230298,-0.5177508,0,BMS,BMS,10.0,12.688271,1290,A549,lung adenocarcinoma
B12_B02_RT_658,7.829752,-0.53237516,0,BMS,BMS,10.0,7.1271124,947,A549,lung adenocarcinoma
B12_B02_RT_727,7.010523,2.1434953,0,BMS,BMS,10.0,8.140947,3165,A549,lung adenocarcinoma
B12_B02_RT_735,3.5415704,5.8366323,0,BMS,BMS,100.0,8.666667,1490,A549,lung adenocarcinoma
B12_B02_RT_738,7.6315155,-0.7345613,0,BMS,BMS,10.0,14.115509,2471,A549,lung adenocarcinoma
C01_A01_RT_393,8.573546,8.282219,2,BMS,BMS,10.0,5.9080653,3398,A549,lung adenocarcinoma
C01_A01_RT_467,0.76833713,6.9294972,1,BMS,BMS,100.0,9.350393,726,A549,lung adenocarcinoma
C01_A01_RT_552,9.239719,-2.0180516,0,BMS,BMS,50.0,7.5471697,773,A549,lung adenocarcinoma
C01_B02_RT_437,-1.0422918,8.581239,1,BMS,BMS,100.0,7.8319006,729,A549,lung adenocarcinoma
C01_B02_RT_484,1.4275571,8.57043,1,BMS,BMS,50.0,6.326034,864,A549,lung adenocarcinoma
C01_B02_RT_668,-0.765295,7.0574636,1,BMS,BMS,10.0,6.1571126,1016,A549,lung adenocarcinoma
C01_B02_RT_752,1.483334,7.4485254,1,BMS,BMS,50.0,4.2826552,961,A549,lung adenocarcinoma
C02_A01_RT_400,-1.6913724,8.039148,1,BMS,BMS,10.0,4.119318,909,A549,lung adenocarcinoma
C02_A01_RT_470,8.629946,-1.7514026,0,BMS,BMS,10.0,6.951872,964,A549,lung adenocarcinoma
C02_A01_RT_481,9.607053,5.4232626,2,BMS,BMS,10.0,4.040644,5569,A549,lung adenocarcinoma
C02_A01_RT_503,0.92992395,7.7050624,1,BMS,BMS,10.0,3.7754114,778,A549,lung adenocarcinoma
C02_A01_RT_606,7.5791507,0.6049594,0,BMS,BMS,10.0,11.510129,3064,A549,lung adenocarcinoma
C02_B02_RT_424,-0.6329603,8.364443,1,BMS,BMS,100.0,3.8623006,865,A549,lung adenocarcinoma
C02_B02_RT_435,3.5463212,-1.0566471,3,BMS,BMS,100.0,8.370305,1917,A549,lung adenocarcinoma
C02_B02_RT_589,8.923818,-2.1275375,0,BMS,BMS,10.0,6.29771,767,A549,lung adenocarcinoma
C03_A01_RT_447,8.829081,-2.2401128,0,BMS,BMS,10.0,11.0056925,656,A549,lung adenocarcinoma
C03_A01_RT_578,9.028005,-2.5900624,0,BMS,BMS,10.0,10.891566,1069,A549,lung adenocarcinoma
C03_A01_RT_588,8.696615,-2.22368,0,BMS,BMS,10.0,11.542289,662,A549,lung adenocarcinoma
C03_B02_RT_428,7.7604356,-1.1289518,0,BMS,BMS,10.0,9.322917,1198,A549,lung adenocarcinoma
C03_B02_RT_432,0.21940176,9.195568,1,BMS,BMS,50.0,4.575961,1094,A549,lung adenocarcinoma
C03_B02_RT_468,-0.23142558,8.332238,1,BMS,BMS,100.0,4.1060734,845,A549,lung adenocarcinoma
C03_B02_RT_497,1.2705919,9.065895,1,BMS,BMS,100.0,1.8997362,1248,A549,lung adenocarcinoma
C04_A01_RT_595,9.723559,-2.4979236,0,BMS,BMS,10.0,5.914344,952,A549,lung adenocarcinoma
C04_B02_RT_433,0.32148546,7.7982526,1,BMS,BMS,100.0,1.518785,873,A549,lung adenocarcinoma
C04_B02_RT_499,1.0286046,7.085588,1,BMS,BMS,50.0,5.608157,921,A549,lung adenocarcinoma
