group,names,scores,logfoldchanges,pvals,pvals_adj
0,PRSS2,6.1342034,,8.558701653186805e-10,1.0069060768455064e-08
0,HLA-DQB1,6.0478234,,1.4681551308109206e-09,1.7171405038724214e-08
0,GADD45B,6.013256,,1.8183354433010056e-09,2.1143435387220995e-08
0,POU2F2,5.984795,,2.1666254719415934e-09,2.5047693317243857e-08
0,FAM30A,5.961286,,2.50260758633073e-09,2.8765604440583106e-08
0,NPDC1,5.9089203,,3.4435752799360787e-09,3.91315372720009e-08
0,H2AC6,5.7391353,,9.516125426315417e-09,1.0573472695906019e-07
0,NEAT1,5.711307,,1.1211179563214733e-08,1.2319977541994212e-07
0,CYTIP,5.6930027,,1.2482438309143404e-08,1.3642009081031042e-07
0,TLE4,5.580029,,2.4047856102984858e-08,2.6138974024983543e-07
0,PRKCB,5.4548736,,4.900774594317339e-08,5.241470154350095e-07
0,HSP90AA1,5.440904,,5.301088894370073e-08,5.63945627060646e-07
0,CREBRF,5.420432,,5.945508411612273e-08,6.225663258232746e-07
0,JMJD1C,5.3316636,,9.731698990824133e-08,1.0032679371983641e-06
0,CD79B,5.1939783,,2.0584696572123512e-07,2.0792622800124756e-06
0,TPM2,5.16142,,2.450836401223978e-07,2.4631521620341484e-06
0,S100A11,5.1329117,,2.8529400588508993e-07,2.838746327214825e-06
0,TRIM38,5.0871115,,3.635583804909803e-07,3.5818559654283774e-06
0,NKG7,4.9951944,,5.877647573507429e-07,5.762399581870028e-06
0,KIT,4.970863,,6.665562955155834e-07,6.4714203448114894e-06
0,ZFAND2A,4.935425,,7.997643522786412e-07,7.690041848833088e-06
0,KCNQ1OT1,4.9183073,,8.729583114804997e-07,8.353668052444973e-06
0,CMTM8,4.755673,,1.977863504076266e-06,1.8659089661096847e-05
0,DDIT4,4.7331605,,2.210504934204594e-06,2.0658924618734524e-05
0,PLEK,4.6915054,,2.712022090440882e-06,2.5228112469217505e-05
0,KLF2,4.6437907,,3.4207383142828777e-06,3.1382920314521814e-05
0,PXDN,4.6106153,,4.014787072325572e-06,3.6498064293868835e-05
0,PHACTR1,4.5885777,,4.462765921523406e-06,4.038702191423896e-05
0,DUSP6,4.524805,,6.045112964892285e-06,5.42162597748187e-05
0,IFI6,4.4871683,,7.217600182577551e-06,6.415644606735601e-05
0,IER5L,4.455322,,8.376740651572432e-06,7.413044824400383e-05
0,TSPYL2,4.3953624,,1.1058808437725143e-05,9.700709155899249e-05
0,MAN1A1,4.115024,,3.871388736210211e-05,0.00032532678455547996
0,SCT,4.0896482,,4.3202803043808944e-05,0.0003600233586984079
0,SPATS2L,3.9902642,,6.599975563491898e-05,0.0005387735153870937
0,RIPOR2,3.9290707,,8.527478532951791e-05,0.0006876998816896606
0,SH3BP5,3.9219198,,8.784623080524888e-05,0.0007055922153032039
0,LGALS1,3.9015431,,9.558144808612833e-05,0.0007646515846890267
0,IGHM,3.8449693,,0.00012056759730141929,0.0009493511598536951
0,PDE4D,3.8302877,,0.0001279934723825725,0.0009999490029888476
0,ANKRD44,3.824118,,0.00013124114758725,0.0010213318878385213
0,EFNA1,3.8075855,,0.00014033025241036058,0.001083631292744097
0,PBXIP1,3.7903094,,0.00015045967029167246,0.0011573820791667111
0,C12orf75,3.7587478,,0.00017076589657936126,0.001303556462437872
0,TASL,3.7421997,,0.0001824165598624238,0.0013819436353213923
0,COL5A1,3.7381496,,0.00018537968711096025,0.0013990919781959263
0,BTG1-DT,3.7296224,,0.00019176700510225946,0.0014418571812199958
0,PTPRE,3.6954818,,0.00021947021242840607,0.0016378374061821346
0,ABCG1,3.6077573,,0.00030885504468651655,0.002279373023516727
0,BAZ2B,3.5971894,,0.0003216742995749196,0.0023652522027567614
